age,edu,edunumber,gender,gov,marriage,occupation,relation,skin,workhour,native-country,income
4,7,12,1,2,1,6,3,1,4,1,0.00 
3,9,5,1,1,1,8,3,1,5,1,1.00 
5,1,13,1,2,1,6,3,1,4,1,0.00 
2,1,13,1,1,1,1,3,1,5,1,1.00 
4,4,9,2,1,4,9,6,1,4,1,0.00 
2,4,9,1,1,3,7,4,1,4,1,0.00 
5,1,13,1,4,1,6,3,5,4,1,0.00 
5,4,9,1,1,1,8,3,1,4,1,0.00 
4,12,14,2,1,2,5,6,1,4,1,0.00 
4,8,11,1,6,1,2,3,1,4,1,0.00 
2,8,11,1,1,3,6,4,1,5,1,1.00 
2,2,10,2,1,1,5,1,4,4,1,0.00 
1,4,9,2,1,3,3,2,1,3,1,0.00 
4,5,15,2,1,1,6,1,1,6,15,1.00 
5,1,13,1,4,2,5,4,1,6,1,1.00 
4,4,9,1,3,2,5,4,1,6,1,1.00 
4,2,10,1,1,1,1,3,1,4,1,0.00 
4,16,3,1,1,1,8,3,1,4,21,0.00 
3,8,11,1,1,1,3,3,1,4,4,0.00 
4,4,9,1,1,1,9,3,1,5,1,1.00 
3,4,9,1,1,1,8,3,1,4,1,0.00 
3,1,13,1,1,1,4,3,1,4,1,0.00 
3,10,4,1,9,6,9,4,1,4,1,0.00 
4,4,9,1,1,1,9,3,1,4,1,0.00 
4,15,16,1,1,1,6,3,1,5,1,1.00 
2,2,10,1,1,2,1,4,1,6,1,1.00 
3,4,9,1,1,1,2,3,1,4,1,0.00 
2,2,10,2,1,2,9,4,1,4,1,0.00 
5,4,9,2,1,1,9,1,1,4,1,0.00 
4,2,10,1,3,1,5,3,1,5,1,1.00 
2,2,10,1,9,3,9,2,1,4,1,0.00 
1,2,10,1,1,3,6,2,1,4,1,0.00 
3,1,13,2,1,4,4,2,5,4,1,0.00 
2,1,13,1,2,1,4,3,1,7,1,1.00 
2,2,10,1,1,3,8,4,1,4,1,0.00 
7,2,10,1,1,1,6,5,1,2,1,0.00 
2,4,9,1,1,3,3,2,1,4,21,0.00 
4,7,12,1,1,1,9,3,1,4,1,0.00 
6,14,6,1,9,1,9,3,1,1,1,0.00 
1,3,7,2,1,3,3,2,1,3,1,0.00 
3,10,4,1,5,1,9,3,1,4,1,0.00 
1,4,9,1,1,3,4,4,1,3,1,0.00 
5,1,13,1,1,1,3,3,1,4,13,0.00 
4,4,9,2,1,1,3,1,1,4,1,0.00 
5,4,9,1,1,1,4,3,1,5,1,1.00 
4,4,9,2,1,2,2,4,1,4,1,0.00 
5,4,9,2,1,2,4,2,1,4,1,0.00 
4,4,9,1,5,1,9,3,1,4,1,0.00 
3,12,14,1,1,1,6,3,1,5,1,1.00 
3,9,5,1,1,3,4,4,1,4,1,0.00 
4,15,16,2,4,3,6,4,1,5,1,1.00 
5,8,11,1,1,1,6,3,1,4,1,0.00 
3,2,10,2,1,2,2,6,1,4,1,0.00 
2,2,10,2,1,2,8,6,5,3,1,0.00 
3,4,9,2,1,1,4,1,2,4,1,0.00 
3,1,13,1,5,1,9,3,1,4,1,0.00 
2,2,10,1,5,3,7,4,1,5,1,1.00 
4,15,16,1,2,1,6,3,1,6,1,1.00 
3,2,10,1,1,1,4,3,1,5,1,1.00 
4,7,12,2,1,2,5,6,1,4,3,0.00 
3,4,9,1,4,3,3,2,5,4,1,0.00 
7,12,14,1,1,1,5,3,1,4,1,0.00 
4,1,13,1,1,1,5,3,1,6,1,1.00 
4,12,14,2,2,3,6,4,1,5,1,1.00 
2,2,10,2,1,3,1,2,1,4,1,0.00 
2,4,9,1,1,3,2,4,1,4,1,0.00 
3,4,9,1,3,1,2,3,1,4,1,0.00 
1,14,6,2,9,3,9,2,1,4,1,0.00 
3,3,7,1,1,3,7,2,1,4,1,0.00 
3,4,9,2,5,3,9,4,1,4,1,0.00 
4,4,9,1,1,1,7,3,1,4,1,0.00 
2,1,13,1,1,3,4,5,1,4,1,0.00 
3,5,15,1,1,1,6,3,1,4,1,0.00 
5,4,9,1,2,1,3,3,1,5,5,1.00 
2,2,10,2,1,1,4,1,1,3,1,0.00 
3,4,9,2,1,3,8,2,1,4,1,0.00 
5,9,5,1,1,1,7,3,1,5,1,1.00 
5,2,10,1,3,1,4,3,1,5,1,1.00 
4,8,11,1,5,1,2,3,5,4,1,0.00 
5,2,10,1,1,1,4,3,1,6,1,1.00 
2,4,9,1,1,3,2,4,1,5,1,1.00 
2,2,10,2,1,3,3,2,1,4,1,0.00 
4,1,13,1,1,1,5,3,1,6,1,1.00 
3,1,13,1,1,3,5,2,5,4,6,0.00 
2,1,13,1,6,1,6,3,1,5,1,1.00 
1,2,10,1,1,3,3,2,5,4,1,0.00 
4,1,13,2,1,1,5,1,1,4,1,0.00 
2,2,10,2,1,3,9,2,1,3,1,0.00 
3,7,12,1,1,1,9,3,1,4,1,0.00 
3,4,9,1,9,1,9,3,1,4,1,0.00 
3,2,10,1,1,2,2,4,1,4,1,0.00 
2,7,12,2,1,3,4,4,1,6,1,1.00 
2,4,9,2,1,3,3,4,1,4,1,0.00 
3,4,9,1,2,1,2,3,1,4,1,0.00 
3,1,13,1,1,1,4,3,1,5,1,1.00 
4,7,12,2,1,2,1,4,5,4,1,0.00 
3,12,14,1,4,1,6,3,1,4,14,0.00 
4,4,9,1,2,1,2,3,1,6,1,1.00 
2,8,11,2,1,1,9,1,1,4,1,0.00 
2,2,10,1,1,3,4,2,1,2,1,0.00 
4,2,10,1,1,1,2,3,2,4,1,0.00 
6,4,9,1,3,1,2,3,1,4,1,0.00 
2,2,10,2,1,3,4,2,1,4,1,0.00 
1,2,10,1,1,3,3,2,1,3,21,0.00 
4,8,11,2,1,3,6,4,1,4,1,0.00 
7,2,10,1,1,3,1,5,1,4,1,0.00 
3,4,9,2,1,3,9,6,5,3,1,0.00 
2,2,10,1,1,1,3,3,1,3,1,0.00 
3,4,9,2,1,5,3,6,1,3,1,0.00 
6,3,7,1,1,1,2,3,1,4,1,0.00 
4,2,10,2,9,2,9,4,1,4,1,0.00 
4,2,10,2,5,2,9,6,1,4,21,0.00 
3,4,9,2,1,3,9,4,1,4,1,0.00 
3,1,13,2,1,3,5,5,2,4,16,0.00 
2,4,9,1,1,3,2,2,1,4,1,0.00 
5,4,9,1,9,2,9,4,1,5,1,1.00 
4,4,9,1,1,1,2,3,1,5,1,1.00 
2,1,13,1,1,3,7,4,1,4,1,0.00 
7,2,10,1,2,4,4,6,5,1,1,0.00 
2,4,9,1,1,2,2,4,1,6,1,1.00 
4,1,13,1,1,4,3,5,5,5,1,1.00 
6,13,2,2,9,2,9,4,1,2,1,0.00 
2,4,9,2,1,3,3,6,1,4,1,0.00 
4,12,14,2,3,2,5,6,2,4,1,0.00 
2,4,9,2,1,3,5,4,2,4,3,0.00 
4,12,14,1,2,1,4,3,1,4,1,0.00 
3,2,10,2,1,2,3,6,1,4,21,0.00 
3,7,12,1,4,3,5,4,1,5,1,1.00 
4,12,14,1,6,5,9,6,1,4,1,0.00 
1,3,7,1,1,3,7,2,1,2,1,0.00 
6,8,11,2,5,5,6,4,1,2,1,0.00 
2,4,9,1,1,3,3,4,1,4,1,0.00 
2,4,9,1,6,1,9,3,1,4,1,0.00 
5,2,10,1,1,1,4,3,1,4,1,0.00 
2,1,13,1,1,3,2,4,1,5,1,1.00 
2,1,13,1,6,1,6,3,1,4,1,0.00 
2,4,9,2,1,6,4,6,1,3,1,0.00 
2,4,9,1,1,3,2,2,5,4,1,0.00 
3,4,9,1,1,3,7,4,5,4,1,0.00 
1,4,9,1,1,3,3,2,1,2,1,0.00 
3,1,13,1,1,1,6,3,1,7,1,1.00 
4,2,10,1,5,1,5,3,5,4,1,0.00 
4,2,10,2,1,2,9,4,1,4,1,0.00 
3,2,10,1,1,3,2,4,5,5,1,1.00 
4,10,4,1,1,1,8,3,1,4,21,0.00 
3,2,10,1,4,1,9,3,1,5,1,1.00 
3,4,9,1,1,1,9,3,5,4,1,0.00 
4,1,13,2,2,2,5,4,1,4,1,0.00 
5,1,13,2,9,2,9,4,1,5,1,1.00 
3,12,14,2,1,1,6,1,1,5,1,1.00 
5,15,16,1,6,1,6,3,1,1,1,0.00 
3,2,10,2,1,2,8,4,5,3,1,0.00 
2,2,10,1,1,1,8,3,1,4,1,0.00 
4,1,13,1,5,1,2,3,5,4,1,0.00 
4,2,10,1,1,1,1,3,1,5,1,1.00 
4,1,13,1,4,1,1,3,1,3,1,0.00 
2,16,3,1,1,1,9,5,1,4,21,0.00 
3,2,10,1,1,2,2,4,1,4,1,0.00 
4,12,14,2,4,3,5,4,1,6,1,1.00 
3,12,14,1,1,1,6,5,1,4,1,0.00 
2,4,9,1,2,3,4,4,1,4,1,0.00 
2,12,14,2,1,3,6,4,1,4,1,0.00 
1,4,9,1,9,3,9,2,1,4,17,0.00 
5,1,13,1,1,1,5,3,1,5,1,1.00 
4,2,10,2,5,3,6,4,1,4,1,0.00 
3,4,9,2,6,2,9,6,1,4,1,0.00 
1,3,7,2,1,3,4,2,1,4,1,0.00 
3,1,13,1,1,1,3,3,5,4,1,0.00 
3,4,9,1,1,2,2,4,1,6,1,1.00 
5,4,9,2,3,1,4,1,1,4,1,0.00 
1,3,7,2,1,3,4,2,1,2,1,0.00 
4,4,9,1,5,1,9,3,5,4,1,0.00 
3,4,9,1,1,1,2,3,1,4,1,0.00 
3,2,10,2,1,3,4,4,3,4,1,0.00 
6,4,9,1,1,1,2,3,2,4,1,0.00 
5,10,4,1,3,1,8,3,1,4,1,0.00 
3,1,13,1,1,3,5,4,5,6,1,1.00 
5,7,12,2,1,2,4,4,1,4,1,0.00 
3,1,13,1,1,1,4,3,1,5,18,1.00 
4,1,13,1,1,1,6,3,1,6,1,1.00 
2,14,6,1,1,3,2,4,1,4,1,0.00 
3,2,10,1,1,1,7,3,1,4,1,0.00 
6,13,2,1,9,2,9,4,1,4,1,0.00 
9,4,9,1,1,3,3,4,5,4,1,0.00 
5,4,9,1,1,1,9,3,5,2,1,0.00 
5,17,1,2,5,3,8,4,1,4,1,0.00 
1,4,9,2,1,3,4,2,1,4,1,0.00 
6,14,6,2,9,2,9,4,3,1,1,0.00 
6,4,9,1,2,1,9,3,1,5,1,1.00 
7,8,11,2,1,5,9,4,1,2,29,0.00 
6,4,9,2,1,2,9,4,1,4,1,0.00 
3,3,7,1,1,4,9,4,5,4,1,0.00 
4,4,9,2,1,2,4,6,5,4,1,0.00 
2,2,10,1,1,3,9,4,1,5,1,1.00 
3,2,10,2,1,2,2,5,4,4,1,0.00 
2,5,15,1,1,3,6,4,1,6,1,1.00 
5,4,9,1,6,1,3,3,1,4,1,0.00 
4,2,10,2,6,3,9,4,1,4,1,0.00 
4,1,13,1,1,1,5,3,1,5,14,1.00 
3,12,14,1,5,1,5,3,1,7,1,1.00 
2,4,9,1,1,3,9,2,1,4,1,0.00 
4,1,13,1,1,1,6,3,1,4,1,0.00 
4,4,9,2,2,1,3,1,1,2,1,0.00 
2,7,12,1,6,1,9,3,1,5,1,1.00 
2,2,10,1,9,3,9,2,1,2,1,0.00 
3,2,10,1,1,2,2,4,1,4,1,0.00 
5,4,9,1,1,1,9,3,1,4,1,0.00 
5,4,9,1,1,1,9,3,1,5,1,1.00 
3,4,9,2,1,3,3,4,1,4,1,0.00 
4,7,12,1,1,1,1,3,1,6,1,1.00 
4,4,9,1,1,1,9,3,1,4,1,0.00 
4,5,15,2,1,1,6,1,1,4,1,0.00 
4,1,13,2,1,1,9,1,5,4,1,0.00 
5,14,6,2,5,5,3,6,5,3,1,0.00 
1,2,10,1,5,3,9,2,1,4,1,0.00 
5,2,10,1,1,3,9,4,1,2,1,0.00 
4,4,9,1,2,1,9,3,2,4,2,0.00 
2,4,9,2,1,3,3,2,1,4,1,0.00 
3,4,9,2,1,4,3,4,1,3,1,0.00 
4,8,11,2,1,5,5,4,1,5,1,1.00 
5,10,4,1,1,2,2,4,1,4,1,0.00 
3,1,13,2,1,2,6,2,1,4,1,0.00 
4,4,9,1,1,1,4,3,1,6,1,1.00 
1,3,7,1,1,3,3,2,1,2,1,0.00 
5,2,10,1,1,1,4,3,1,4,1,0.00 
2,3,7,1,1,1,2,3,1,4,1,0.00 
3,2,10,1,3,1,5,3,2,8,34,1.00 
1,2,10,1,9,3,9,2,1,3,5,0.00 
6,4,9,1,1,1,5,3,1,4,1,0.00 
3,1,13,2,1,3,6,4,1,5,1,1.00 
3,4,9,2,1,1,2,1,1,4,1,0.00 
6,4,9,1,1,1,5,3,1,4,1,0.00 
1,9,5,1,1,3,3,2,1,3,1,0.00 
5,12,14,1,2,1,9,3,1,10,1,1.00 
2,12,14,1,5,3,6,2,1,4,1,0.00 
3,4,9,2,1,2,6,2,1,4,1,0.00 
4,4,9,1,1,1,7,3,5,4,1,0.00 
4,2,10,1,1,1,2,3,1,4,1,0.00 
3,2,10,2,1,3,5,4,1,4,1,0.00 
2,2,10,2,1,3,1,2,1,4,1,0.00 
2,2,10,2,1,1,8,1,1,5,1,1.00 
2,1,13,2,1,3,6,4,1,2,6,0.00 
4,2,10,1,5,1,2,3,1,4,1,0.00 
3,7,12,2,1,2,4,6,5,5,1,1.00 
6,1,13,2,1,2,6,4,1,5,1,1.00 
2,4,9,1,1,3,7,2,1,4,1,0.00 
5,12,14,1,4,1,4,3,1,4,1,0.00 
4,5,15,1,1,1,6,3,1,6,1,1.00 
5,2,10,1,1,2,3,4,1,5,1,1.00 
2,1,13,2,1,3,5,4,1,4,1,0.00 
5,10,4,1,1,1,2,3,1,4,26,0.00 
3,1,13,1,1,1,6,3,1,5,1,1.00 
3,4,9,2,1,2,6,4,1,4,1,0.00 
2,1,13,1,5,3,9,4,1,6,1,1.00 
2,2,10,1,1,3,4,2,1,5,1,1.00 
2,1,13,2,1,3,1,6,5,4,1,0.00 
6,4,9,1,1,1,9,3,1,2,1,0.00 
3,1,13,2,3,2,4,4,1,6,1,1.00 
3,12,14,2,9,1,9,1,2,4,0,0.00 
2,4,9,1,1,3,2,2,1,4,1,0.00 
3,4,9,1,1,2,4,4,1,8,1,1.00 
4,1,13,1,1,1,9,3,1,4,1,0.00 
2,2,10,2,1,3,3,4,2,3,1,0.00 
3,4,9,1,1,1,9,3,1,5,1,1.00 
5,4,9,1,1,1,4,3,1,4,1,0.00 
2,2,10,2,1,1,9,1,2,4,25,0.00 
4,4,9,2,1,2,9,4,1,4,1,0.00 
2,7,12,1,1,3,1,4,1,5,1,1.00 
4,7,12,2,1,3,6,4,1,4,1,0.00 
3,7,12,1,1,1,9,3,1,4,1,0.00 
4,2,10,1,3,1,9,3,1,6,1,1.00 
2,1,13,1,1,3,4,4,1,4,1,0.00 
3,12,14,1,1,1,5,3,2,4,27,0.00 
1,2,10,2,9,3,9,2,5,3,1,0.00 
3,1,13,2,2,2,6,4,5,4,1,0.00 
2,2,10,1,1,3,4,2,1,2,1,0.00 
2,2,10,1,1,3,8,4,1,4,1,0.00 
7,2,10,1,2,1,4,3,1,4,1,0.00 
2,16,3,2,1,1,8,5,1,4,21,0.00 
2,2,10,2,1,3,1,4,1,4,1,0.00 
6,4,9,2,1,5,3,4,1,3,1,0.00 
3,4,9,1,2,1,5,3,1,4,1,0.00 
4,2,10,1,1,1,2,3,1,5,1,1.00 
3,4,9,1,1,2,9,4,1,5,1,1.00 
2,3,7,2,1,3,5,4,1,4,1,0.00 
7,12,14,1,2,1,2,3,1,1,1,0.00 
6,4,9,1,2,1,9,3,1,5,1,1.00 
2,8,11,2,9,3,9,2,5,2,1,0.00 
4,2,10,2,1,1,6,1,1,5,1,1.00 
5,4,9,1,2,1,7,3,1,4,1,0.00 
6,4,9,1,1,3,9,4,1,6,1,1.00 
4,2,10,1,1,3,2,4,5,5,1,1.00 
2,1,13,1,1,3,9,4,1,4,1,0.00 
4,8,11,1,1,3,3,4,1,4,1,0.00 
5,14,6,1,5,1,9,3,1,4,1,0.00 
5,4,9,1,1,1,9,3,1,4,1,0.00 
1,16,3,1,1,3,3,5,1,5,21,1.00 
3,4,9,1,1,3,2,5,1,4,1,0.00 
4,12,14,1,1,3,6,4,1,6,1,1.00 
1,4,9,1,1,3,4,6,5,3,28,0.00 
4,4,9,1,1,1,3,3,5,4,1,0.00 
2,7,12,1,1,3,4,4,1,4,1,0.00 
3,8,11,1,1,1,2,3,1,4,1,0.00 
3,4,9,1,6,1,9,3,1,4,1,0.00 
3,4,9,1,1,3,9,4,1,2,1,0.00 
2,2,10,2,6,3,9,2,5,4,1,0.00 
4,1,13,1,2,3,4,4,1,5,1,1.00 
6,3,7,1,9,1,9,3,1,1,1,0.00 
3,8,11,2,9,2,9,6,1,4,1,0.00 
5,7,12,1,1,6,3,4,1,3,14,0.00 
3,1,13,1,1,3,6,2,1,3,1,0.00 
3,1,13,1,1,1,5,3,1,4,1,0.00 
2,4,9,1,1,1,3,3,1,4,1,0.00 
3,1,13,1,1,1,5,3,1,4,1,0.00 
4,3,7,1,5,1,9,3,1,3,1,0.00 
5,1,13,1,9,1,9,3,1,4,1,0.00 
3,4,9,1,4,1,9,3,1,4,1,0.00 
6,3,7,1,1,5,3,6,4,4,1,0.00 
4,8,11,1,1,1,1,3,1,4,1,0.00 
4,4,9,2,1,1,9,1,1,4,1,0.00 
2,9,5,1,2,1,2,3,1,4,21,0.00 
3,14,6,2,1,1,3,1,1,3,1,0.00 
6,12,14,1,1,1,6,3,1,4,1,0.00 
4,1,13,1,1,1,9,3,1,5,1,1.00 
4,1,13,1,1,2,5,4,1,5,1,1.00 
2,4,9,1,1,6,4,4,1,6,1,1.00 
2,4,9,1,1,1,2,3,1,4,1,0.00 
5,2,10,1,2,1,4,3,1,5,1,1.00 
2,7,12,2,1,3,4,4,1,2,1,0.00 
5,1,13,2,1,2,5,4,1,5,1,1.00 
3,4,9,2,1,2,4,6,1,4,1,0.00 
2,2,10,2,4,3,9,6,1,2,1,0.00 
1,3,7,1,1,3,3,2,1,1,1,0.00 
4,8,11,1,6,1,8,3,1,4,1,0.00 
4,4,9,1,1,1,8,3,5,4,1,0.00 
4,4,9,1,1,3,2,4,5,4,1,0.00 
2,2,10,2,5,3,9,2,1,1,1,0.00 
3,4,9,2,1,1,2,1,1,4,1,0.00 
2,2,10,1,1,3,4,4,1,4,1,0.00 
4,12,14,1,2,2,5,4,1,3,1,0.00 
3,4,9,1,1,1,4,3,1,5,1,1.00 
5,4,9,1,1,2,9,4,1,4,1,0.00 
4,16,3,2,1,2,2,4,1,5,1,1.00 
2,2,10,1,1,1,2,3,1,4,1,0.00 
4,2,10,2,1,2,4,4,1,4,1,0.00 
3,2,10,2,5,1,9,1,1,4,1,0.00 
2,4,9,2,1,3,3,4,1,3,1,0.00 
2,4,9,1,1,4,8,4,1,4,1,0.00 
4,2,10,2,1,1,9,1,1,1,1,0.00 
1,2,10,2,1,3,9,2,1,2,1,0.00 
1,4,9,2,1,3,3,5,1,4,1,0.00 
3,4,9,2,1,1,3,1,1,4,1,0.00 
2,1,13,1,1,3,2,4,1,5,1,1.00 
4,7,12,1,2,4,2,4,1,4,1,0.00 
3,1,13,1,6,1,5,3,1,5,1,1.00 
3,4,9,2,1,3,3,4,1,4,1,0.00 
4,2,10,1,1,1,1,3,1,4,1,0.00 
4,2,10,2,1,2,7,6,1,4,1,0.00 
2,4,9,2,9,3,9,5,1,4,1,0.00 
2,1,13,1,1,1,5,3,1,6,1,1.00 
5,1,13,1,3,1,5,3,1,5,1,1.00 
2,2,10,1,1,3,7,2,1,4,1,0.00 
2,2,10,2,1,3,3,4,1,4,1,0.00 
5,1,13,1,6,1,9,3,1,4,1,0.00 
3,8,11,2,1,2,1,4,1,7,1,1.00 
2,10,4,1,1,1,7,3,4,4,4,0.00 
4,12,14,1,1,1,5,3,1,7,1,1.00 
2,4,9,1,1,1,9,3,1,4,1,0.00 
4,4,9,1,2,1,2,3,1,3,1,0.00 
2,2,10,2,9,1,9,1,1,4,1,0.00 
3,2,10,1,1,1,5,3,1,5,1,1.00 
4,2,10,2,5,2,3,4,5,3,1,0.00 
2,4,9,2,1,3,7,6,5,4,1,0.00 
3,2,10,2,1,2,5,6,1,4,1,0.00 
4,15,16,1,1,1,5,3,1,6,1,1.00 
3,2,10,1,6,1,8,3,1,4,1,0.00 
3,11,8,1,1,2,2,4,1,5,1,1.00 
5,13,2,1,1,1,8,3,1,4,21,0.00 
3,3,7,2,1,3,3,2,1,2,1,0.00 
3,3,7,1,5,4,8,4,5,4,1,0.00 
3,4,9,2,6,2,9,6,1,4,1,0.00 
2,2,10,1,1,1,4,3,1,3,1,0.00 
1,3,7,1,1,3,7,2,1,2,1,0.00 
3,1,13,2,6,1,5,1,1,4,1,0.00 
2,4,9,1,1,2,9,4,1,4,1,0.00 
3,14,6,2,1,3,2,6,1,4,1,0.00 
2,4,9,1,1,1,9,3,1,6,1,1.00 
3,12,14,1,4,3,6,4,1,4,1,0.00 
2,4,9,1,1,3,7,4,1,8,24,1.00 
6,4,9,1,3,1,5,3,1,4,1,0.00 
4,12,14,1,5,1,6,3,1,4,1,0.00 
8,4,9,1,9,5,9,4,1,3,1,0.00 
1,3,7,1,9,3,9,2,1,4,1,0.00 
4,1,13,2,2,6,6,4,1,4,1,0.00 
3,7,12,2,1,1,3,1,1,3,1,0.00 
2,2,10,1,1,3,2,2,2,4,16,0.00 
3,12,14,1,1,1,6,3,1,5,1,1.00 
3,4,9,1,5,3,9,4,5,6,1,1.00 
3,2,10,2,5,3,9,4,1,4,1,0.00 
2,2,10,1,1,1,9,3,1,4,1,0.00 
4,2,10,2,5,1,9,1,1,4,1,0.00 
2,1,13,1,1,3,6,4,1,4,1,0.00 
4,4,9,2,1,2,9,4,1,3,1,0.00 
2,4,9,1,4,3,9,2,1,4,1,0.00 
4,2,10,1,1,1,6,3,1,4,1,0.00 
2,9,5,1,1,3,2,5,1,4,21,0.00 
2,2,10,1,1,3,4,4,1,4,1,0.00 
4,4,9,2,1,5,5,6,5,4,1,0.00 
5,4,9,1,1,1,2,3,3,4,1,0.00 
2,4,9,1,1,1,8,3,1,4,1,0.00 
1,3,7,2,9,3,9,2,1,1,1,0.00 
1,4,9,2,1,3,8,2,5,4,1,0.00 
4,2,10,1,3,1,2,3,1,6,1,1.00 
6,4,9,1,1,1,2,3,1,4,1,0.00 
4,7,12,1,1,1,5,3,5,4,1,0.00 
4,4,9,2,2,1,4,1,1,4,1,0.00 
4,8,11,1,1,1,8,3,2,4,1,0.00 
3,4,9,2,1,1,5,1,1,4,1,0.00 
3,2,10,1,1,1,9,3,5,5,1,1.00 
2,4,9,1,1,1,9,3,1,6,1,1.00 
3,2,10,1,9,1,9,3,1,4,1,0.00 
4,7,12,1,1,3,9,2,1,4,1,0.00 
5,4,9,1,5,1,9,3,5,4,1,0.00 
3,1,13,1,1,1,6,3,1,5,1,1.00 
5,13,2,1,1,6,2,6,1,4,1,0.00 
2,1,13,2,1,3,1,4,1,2,1,0.00 
3,4,9,2,1,1,9,1,1,6,1,1.00 
5,4,9,1,1,2,9,6,1,4,1,0.00 
3,2,10,1,1,1,9,3,1,4,1,0.00 
4,12,14,1,1,1,5,3,1,5,1,1.00 
3,1,13,2,1,1,1,1,1,2,1,0.00 
6,2,10,1,1,3,6,6,1,4,1,0.00 
2,2,10,1,9,3,9,2,1,4,1,0.00 
3,4,9,1,1,3,2,4,1,4,1,0.00 
3,4,9,1,1,3,9,4,1,6,1,1.00 
6,8,11,2,1,2,3,4,1,3,1,0.00 
4,1,13,2,1,3,2,4,1,4,1,0.00 
1,9,5,1,1,3,3,4,1,1,1,0.00 
2,2,10,1,1,3,7,2,1,3,1,0.00 
2,14,6,1,1,3,3,4,1,4,1,0.00 
2,4,9,2,1,3,3,6,1,4,1,0.00 
3,7,12,1,1,1,2,3,1,5,21,1.00 
4,2,10,1,2,1,2,3,1,2,1,0.00 
2,1,13,1,6,3,6,4,1,2,1,0.00 
4,4,9,2,1,6,2,6,1,4,1,0.00 
5,11,8,1,9,3,9,5,5,4,1,0.00 
2,2,10,2,1,6,9,2,5,2,1,0.00 
6,13,2,1,9,1,9,3,1,4,1,0.00 
5,4,9,1,5,1,9,3,1,5,1,1.00 
4,1,13,2,5,2,6,6,1,4,1,0.00 
3,1,13,1,1,1,4,3,1,6,1,1.00 
4,4,9,2,1,3,3,4,1,4,1,0.00 
4,4,9,1,4,2,9,4,1,4,1,0.00 
3,7,12,2,1,3,5,4,1,6,1,1.00 
3,4,9,2,1,2,6,6,1,3,1,0.00 
3,1,13,1,1,3,2,2,1,2,1,0.00 
4,4,9,2,1,2,9,6,1,4,1,0.00 
2,2,10,1,1,3,8,2,1,4,1,0.00 
2,16,3,1,1,3,3,2,1,4,36,0.00 
2,2,10,2,1,3,6,4,1,4,1,0.00 
7,4,9,1,9,1,9,3,1,2,1,0.00 
2,4,9,1,5,3,9,4,1,4,18,0.00 
6,4,9,1,5,1,9,3,1,4,1,0.00 
5,2,10,1,1,1,9,3,1,4,1,0.00 
5,2,10,2,1,2,3,6,1,5,23,1.00 
2,1,13,2,1,3,4,4,1,4,1,0.00 
2,1,13,1,1,3,5,4,5,4,1,0.00 
1,2,10,1,1,3,9,2,1,1,1,0.00 
4,2,10,1,1,1,5,3,1,4,1,0.00 
4,4,9,2,5,4,9,6,5,4,1,0.00 
3,4,9,2,1,2,3,6,1,4,1,0.00 
4,8,11,1,1,6,7,6,1,5,1,1.00 
5,16,3,2,9,5,9,6,5,3,1,0.00 
3,8,11,1,1,3,2,4,1,5,1,1.00 
3,2,10,1,1,1,6,3,1,5,1,1.00 
2,4,9,1,1,2,2,4,1,5,1,1.00 
